2026-03-09 18:08:58,777 | INFO | aiogram.event | Update id=702991398 is handled. Duration 75 ms by bot id=8207144654
2026-03-09 19:44:34,764 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - Request timeout error
2026-03-09 19:44:34,765 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8207144654)
2026-03-09 19:44:45,904 | INFO | aiogram.dispatcher | Connection established (tryings = 1, bot id = 8207144654)
2026-03-14 19:44:14,318 | INFO | __main__ | Bot is starting...
2026-03-14 19:44:15,183 | INFO | __main__ | Commands registered successfully
2026-03-14 19:44:15,184 | INFO | aiogram.dispatcher | Start polling
2026-03-14 19:44:15,231 | INFO | aiogram.dispatcher | Run polling for bot @super_goi_bot id=8207144654 - 'GamesBot'
2026-03-14 19:44:15,291 | INFO | __main__ | User 886635512 used /start
2026-03-14 19:44:15,527 | INFO | aiogram.event | Update id=702991399 is handled. Duration 238 ms by bot id=8207144654
2026-03-14 19:44:23,342 | INFO | __main__ | User 886635512 started adding a game
2026-03-14 19:44:23,405 | INFO | aiogram.event | Update id=702991400 is handled. Duration 63 ms by bot id=8207144654
2026-03-14 19:44:34,262 | INFO | __main__ | Game name received: God of War
2026-03-14 19:44:34,328 | INFO | aiogram.event | Update id=702991401 is handled. Duration 65 ms by bot id=8207144654
2026-03-14 19:44:38,547 | INFO | __main__ | Game genre received: Action
2026-03-14 19:44:38,610 | INFO | aiogram.event | Update id=702991402 is handled. Duration 63 ms by bot id=8207144654
2026-03-14 19:44:40,883 | INFO | __main__ | Release year received: 2018
2026-03-14 19:44:40,883 | INFO | data | Adding game for user 886635512: God of War
2026-03-14 19:44:40,884 | INFO | data | Reading all data from file
2026-03-14 19:44:40,884 | INFO | data | Data successfully loaded
2026-03-14 19:44:40,885 | INFO | data | Game 'God of War' successfully added for user 886635512
2026-03-14 19:44:40,885 | INFO | __main__ | Game added for user 886635512: God of War
2026-03-14 19:44:40,957 | INFO | aiogram.event | Update id=702991403 is handled. Duration 74 ms by bot id=8207144654
2026-03-14 19:47:02,057 | INFO | __main__ | User 886635512 requested full game list
2026-03-14 19:47:02,057 | INFO | data | Reading games for user 886635512
2026-03-14 19:47:02,057 | INFO | data | Reading all data from file
2026-03-14 19:47:02,058 | INFO | data | Data successfully loaded
2026-03-14 19:47:02,058 | INFO | data | User 886635512 has 3 games
2026-03-14 19:47:04,318 | INFO | aiogram.event | Update id=702991404 is handled. Duration 2261 ms by bot id=8207144654
2026-03-14 19:47:21,988 | INFO | __main__ | User 886635512 requested clear games
2026-03-14 19:47:22,067 | INFO | aiogram.event | Update id=702991405 is handled. Duration 78 ms by bot id=8207144654
2026-03-14 19:47:22,992 | INFO | __main__ | User 886635512 confirmed clearing games
2026-03-14 19:47:22,992 | INFO | data | Clearing all games for user 886635512
2026-03-14 19:47:22,992 | INFO | data | Reading all data from file
2026-03-14 19:47:22,993 | INFO | data | Data successfully loaded
2026-03-14 19:47:22,994 | INFO | data | All games cleared for user 886635512
2026-03-14 19:47:23,119 | INFO | aiogram.event | Update id=702991406 is handled. Duration 126 ms by bot id=8207144654
2026-03-14 19:48:02,357 | INFO | __main__ | User 886635512 used /start
2026-03-14 19:48:02,434 | INFO | aiogram.event | Update id=702991407 is handled. Duration 76 ms by bot id=8207144654
2026-03-14 19:56:33,437 | INFO | __main__ | Bot is starting...
2026-03-14 19:56:33,918 | INFO | __main__ | Commands registered successfully
2026-03-14 19:56:33,918 | INFO | aiogram.dispatcher | Start polling
2026-03-14 19:56:33,969 | INFO | aiogram.dispatcher | Run polling for bot @super_goi_bot id=8207144654 - 'GamesBot'
2026-03-14 19:56:34,016 | INFO | __main__ | User 886635512 used /start
2026-03-14 19:56:34,017 | INFO | __main__ | User 886635512 used /start
2026-03-14 19:56:34,018 | INFO | __main__ | User 886635512 used /start
2026-03-14 19:56:34,018 | INFO | __main__ | User 886635512 used /start
2026-03-14 19:56:34,151 | INFO | aiogram.event | Update id=702991410 is handled. Duration 133 ms by bot id=8207144654
2026-03-14 19:56:34,164 | INFO | aiogram.event | Update id=702991408 is handled. Duration 147 ms by bot id=8207144654
2026-03-14 19:56:34,190 | INFO | aiogram.event | Update id=702991411 is handled. Duration 172 ms by bot id=8207144654
2026-03-14 19:56:34,216 | INFO | aiogram.event | Update id=702991409 is handled. Duration 199 ms by bot id=8207144654
2026-03-14 19:56:40,416 | INFO | __main__ | User 886635512 started adding a game
2026-03-14 19:56:40,474 | INFO | aiogram.event | Update id=702991412 is handled. Duration 59 ms by bot id=8207144654
2026-03-14 19:56:45,514 | INFO | __main__ | Game name received: GOW
2026-03-14 19:56:45,609 | INFO | aiogram.event | Update id=702991413 is handled. Duration 94 ms by bot id=8207144654
2026-03-14 19:56:51,794 | INFO | __main__ | Game genre received: Action
2026-03-14 19:56:51,980 | INFO | aiogram.event | Update id=702991414 is handled. Duration 185 ms by bot id=8207144654
2026-03-14 19:56:57,391 | INFO | __main__ | Release year received: 2018
2026-03-14 19:56:57,391 | INFO | data | Adding game for user 886635512: GOW
2026-03-14 19:56:57,391 | INFO | data | Reading all data from file
2026-03-14 19:56:57,392 | INFO | data | Data successfully loaded
2026-03-14 19:56:57,392 | INFO | data | Game 'GOW' successfully added for user 886635512
2026-03-14 19:56:57,393 | INFO | __main__ | Game added for user 886635512: GOW
2026-03-14 19:56:57,468 | INFO | aiogram.event | Update id=702991415 is handled. Duration 77 ms by bot id=8207144654
2026-03-14 20:22:50,397 | INFO | __main__ | User 886635512 used /start
2026-03-14 20:22:50,455 | INFO | aiogram.event | Update id=702991416 is handled. Duration 57 ms by bot id=8207144654
2026-03-14 20:22:53,749 | INFO | __main__ | User 886635512 used /start
2026-03-14 20:22:53,834 | INFO | aiogram.event | Update id=702991417 is handled. Duration 84 ms by bot id=8207144654
2026-03-14 20:22:58,480 | INFO | __main__ | User 886635512 started adding a game
2026-03-14 20:22:58,540 | INFO | aiogram.event | Update id=702991418 is handled. Duration 59 ms by bot id=8207144654
2026-03-14 20:23:07,598 | INFO | __main__ | Game name received: God of War
2026-03-14 20:23:07,672 | INFO | aiogram.event | Update id=702991419 is handled. Duration 73 ms by bot id=8207144654
2026-03-14 20:23:12,500 | INFO | __main__ | Game genre received: Action
2026-03-14 20:23:12,561 | INFO | aiogram.event | Update id=702991420 is handled. Duration 61 ms by bot id=8207144654
2026-03-14 20:23:14,635 | INFO | __main__ | Release year received: 2018
2026-03-14 20:23:14,635 | INFO | data | Adding game for user 886635512: God of War
2026-03-14 20:23:14,635 | INFO | data | Reading all data from file
2026-03-14 20:23:14,636 | INFO | data | Data successfully loaded
2026-03-14 20:23:14,637 | INFO | data | Game 'God of War' successfully added for user 886635512
2026-03-14 20:23:14,637 | INFO | __main__ | Game added for user 886635512: God of War
2026-03-14 20:23:14,714 | INFO | aiogram.event | Update id=702991421 is handled. Duration 79 ms by bot id=8207144654
2026-03-14 20:24:48,392 | INFO | __main__ | User 886635512 used /start
2026-03-14 20:24:48,460 | INFO | aiogram.event | Update id=702991422 is handled. Duration 68 ms by bot id=8207144654
2026-03-14 20:24:50,832 | INFO | aiogram.event | Update id=702991423 is handled. Duration 67 ms by bot id=8207144654
2026-03-14 20:25:01,400 | INFO | aiogram.event | Update id=702991424 is handled. Duration 53 ms by bot id=8207144654
2026-03-14 20:25:15,077 | INFO | __main__ | User 886635512 trying to delete game: God of War
2026-03-14 20:25:15,078 | INFO | data | Attempting to delete game 'God of War' for user 886635512
2026-03-14 20:25:15,078 | INFO | data | Reading all data from file
2026-03-14 20:25:15,079 | INFO | data | Data successfully loaded
2026-03-14 20:25:15,080 | INFO | data | Game 'God of War' successfully deleted for user 886635512
2026-03-14 20:25:15,080 | INFO | __main__ | Game deleted: God of War
2026-03-14 20:25:15,144 | INFO | aiogram.event | Update id=702991425 is handled. Duration 67 ms by bot id=8207144654
2026-03-14 20:25:32,972 | INFO | __main__ | User 886635512 trying to delete game: God of War
2026-03-14 20:25:32,972 | INFO | data | Attempting to delete game 'God of War' for user 886635512
